Type,ID,SedRed,Cost,Duck
ICMO,921,39.207,624818.565,0
ICMO,922,23.314,441383.019,0
ICMO,923,76.691,624150.595,0
ICMO,924,21.379,205453.651,0
ICMO,925,19.057,159931.677,0
ICMO,926,12.113,111171.238,0
ICMO,927,51.651,413919.77,0
ICMO,928,32.172,260208.586,0
ICMO,929,7.555,63397.513,0
ICMO,930,2.253,18922.038,0
ICMO,931,9.128,95105.11,0
ICMO,932,20.587,214536.946,0
ICMO,933,13.301,138568.997,0
ICMO,934,5.016,52270.919,0
ICMO,935,5.649,58861.524,0
ICMO,936,13.321,138779.454,0
ICMO,937,0.774,8345.37,0
ICMO,938,8.591,89515.233,0
ICMO,939,5.718,59575.123,0
ICMO,940,2.797,29284.64,0
ICMO,941,5.512,57438.287,0
ICMO,942,4.046,42195.914,0
ICMO,943,10.671,111167.597,0
ICMO,944,18.139,188999.318,0
ICMO,945,14.315,149123.954,0
ICMO,946,2.866,29935.264,0
ICMO,947,20.893,217722.155,0
ICMO,948,7.41,77232.545,0
ICMO,949,6.516,67915.325,0
ICMO,950,10.588,110296.513,0
ICMO,951,3.097,32352.806,0
ICMO,952,9.652,100551.68,0
ICMO,953,5.763,60050.326,0
ICMO,954,9.393,97859.677,0
ICMO,955,52.491,546899.907,0
ICMO,956,0.714,9045.703,0
ICMO,957,1.691,21318.112,0
ICMO,958,2.759,34767.628,0
ICMO,959,6.968,87825.176,0
ICMO,960,5.642,71114.583,0
ICMO,961,13.761,173331.186,0
ICMO,962,5.206,65633.834,0
ICMO,963,2.221,28028.739,0
ICMO,964,5.689,71697.862,0
ICMO,965,7.641,96291.835,0
ICMO,966,12.769,160845.881,0
ICMO,967,2.862,36071.251,0
ICMO,968,3.048,38435.435,0
ICMO,969,5.733,72257.203,0
ICMO,970,7.21,90864.361,0
ICMO,971,13.467,169631.972,0
ICMO,972,2.527,31859,0
ICMO,973,3.537,44592.527,0
ICMO,974,9.517,119902.155,0
ICMO,975,3.649,46004.797,0
ICMO,976,0.861,10868.305,0
ICMO,977,0.805,10226.592,0
ICMO,978,15.216,191657.147,0
ICMO,979,1.196,15181.043,0
ICMO,980,1.17,14779.555,0
ICMO,981,1.721,21709.577,0
ICMO,982,0.939,11852.496,0
ICMO,983,3.556,44822.421,0
ICMO,984,3.422,43139.621,0
ICMO,985,8.044,101377.817,0
ICMO,986,17.713,223093.664,0
ICMO,987,0.947,11939.714,0
ICMO,988,1.282,16151.332,0
ICMO,989,0.645,8194.733,0
ICMO,990,0.225,2852.007,0
