Type,ID,SedRed,Cost,Duck
NCMO,1,2.259,7625.166,0
NCMO,526,13.707,5572.236,0
NCMO,528,7.588,7771.803,0
NCMO,607,609.921,43404.788,0
NCMO,608,157.87,28447.733,0
NCMO,609,22.911,8944.906,0
NCMO,610,94.628,17009.985,0
NCMO,611,201.832,30940.576,0
NCMO,612,5.99,3665.945,0
NCMO,613,234.173,37685.914,0
NCMO,614,140.744,23901.961,0
NCMO,615,74.864,14663.78,0
NCMO,616,206.624,33433.418,0
NCMO,617,10.182,4105.858,0
NCMO,618,55.1,17743.174,0
NCMO,619,51.507,16130.158,0
NCMO,620,166.497,29914.111,0
NCMO,621,109.656,20529.292,0
NCMO,622,102.222,19796.103,0
NCMO,623,401.867,57482.017,0
NCMO,624,8.674,3079.394,0
NCMO,625,17.967,5865.512,0
NCMO,626,13.111,3519.307,0
NCMO,627,20.603,4252.496,0
NCMO,628,0,0,0
NCMO,629,116.123,28887.646,0
NCMO,630,326.47,40911.946,0
NCMO,631,25.401,4985.685,0
NCMO,632,8.054,2492.843,0
NCMO,633,6.196,2932.756,0
NCMO,634,21.684,5278.961,0
NCMO,635,32.465,5718.874,0
NCMO,636,70.548,9971.37,0
NCMO,637,122.366,19356.189,0
NCMO,645,128.798,8798.268,0
NCMO,646,18.106,3372.669,0
NCMO,647,231.118,28007.82,0
NCMO,648,8.414,4839.047,0
NCMO,649,280.318,36219.536,0
NCMO,650,13.261,7771.803,0
NCMO,651,57.464,15250.331,0
NCMO,652,27.785,8504.992,0
NCMO,653,16.419,8504.992,0
NCMO,654,131.112,18769.638,0
NCMO,655,1.286,5718.874,0
NCMO,656,66.017,6305.425,0
NCMO,657,181.87,13783.953,0
NCMO,658,77.858,26248.166,0
NCMO,659,6.588,2639.48,0
NCMO,660,53.303,14663.78,0
NCMO,661,25.753,6305.425,0
NCMO,662,4.792,3079.394,0
NCMO,663,58.094,10264.646,0
NCMO,664,132.958,22435.583,0
NCMO,665,76.062,14957.055,0
NCMO,666,81.161,13637.315,0
NCMO,667,127.985,18036.449,0
NCMO,668,61.253,6452.063,0
NCMO,669,355.518,35779.623,0
NCMO,670,68.831,8504.992,0
NCMO,671,94.089,10411.284,0
NCMO,672,4.421,2492.843,0
NCMO,673,75.777,9678.095,0
NCMO,674,95.984,14810.418,0
NCMO,675,7.07,3226.032,0
NCMO,676,24.423,6452.063,0
NCMO,677,32.136,11584.386,0
NCMO,678,5.785,4692.41,0
NCMO,679,56.558,8358.355,0
NCMO,680,356.781,34313.245,0
NCMO,681,13.592,5425.599,0
NCMO,682,153.392,13050.764,0
NCMO,683,201.934,17009.985,0
NCMO,684,267.95,20675.93,0
NCMO,685,0,0,0
NCMO,686,47.248,11584.386,0
NCMO,687,44.659,12170.937,0
NCMO,688,90.611,17596.536,0
NCMO,792,0,0,0
NCMO,793,0,0,0
NCMO,794,1.991,1466.378,0
NCMO,795,30.519,9824.733,0
NCMO,796,11.279,4252.496,0
NCMO,797,4.645,2639.48,0
NCMO,798,6.635,6452.063,0
NCMO,799,24.548,20969.205,0
NCMO,800,4.645,2639.48,0
NCMO,801,10.616,3812.583,0
NCMO,802,104.825,21995.67,0
NCMO,803,5.308,3812.583,0
NCMO,804,70.989,4839.047,0
NCMO,805,240.168,19062.914,0
NCMO,806,205.005,12024.3,0
NCMO,807,27.865,4985.685,0
NCMO,808,63.028,8065.079,0
NCMO,809,162.545,5132.323,0
NCMO,810,21.231,6452.063,0
NCMO,811,0,0,0
NCMO,812,50.165,16716.709,0
NCMO,813,69.967,19942.741,0
NCMO,814,31.023,7185.252,0
NCMO,815,7.261,3372.669,0
NCMO,816,39.604,8504.992,0
NCMO,817,178.877,15250.331,0
NCMO,818,118.654,30647.3,0
NCMO,819,0,0,0
NCMO,820,156.021,41791.773,0
NCMO,823,28.637,21555.756,0
NCMO,824,17.941,10851.197,0
NCMO,825,1.823,4985.685,0
NCMO,826,3.443,5572.236,0
NCMO,827,43.133,37685.914,0
