SEDSB,SEDSB_R,RIVER,Topofilter divide,Zone,SBarea_m2,dL,Afp_m2,dE,Soilloss_Mg_yr,cells to reach,cell_area_km2,bluff fraction,active_reach_m,Mig_source_loading_Mg_yr,Channel_widenting_source_loading_Mg_yr,Channel_incision_Mg_yr,Net_channel_input_Mg_yr,Ravine_area_m2,Ravine_load_Mg_yr,Bluff_loading_Mg_yr,Net_NCS_loading_Mg_yr,tillare_area_m2,percent_tillare_area,soil loss from tilled area,Xbar_Mg_m2,upland,trans,incised,SE,SE till area,Ap_m,Af_m
1,10,LES,LO,3,5473941.687,62357.62515,4375189.216,67.57135,1419.507003,6076,5.4684,0,0,0,0,0,0,0,0,0,0,2635536.054,0.481469516,683.4493493,0.000259321,0,0,1,1419.507003,683.4493493,934200,4539741.687
2,10,LES,LO,3,3434354.368,62885.32068,4420051.781,67.57135,1468.703701,3809,3.4281,0,0,0,0,0,0,0,0,0,0,2168751.807,0.631487486,927.468008,0.000427651,0,0,1,1468.703701,927.468008,25200,3409154.368
3,9,LES,LO,3,3671927.788,68295.25971,5247070.907,76.717376,1012.083301,4081,3.6729,0,0,0,0,0,0,0,0,0,0,3063198.495,0.834220789,844.3009298,0.000275627,0,0,1,1012.083301,844.3009298,616500,3055427.788
4,9,LES,LO,3,6245008.748,69295.73698,5372034.551,76.717376,709.3269027,6887,6.1983,0,0,0,0,0,0,0,0,0,0,3663670.368,0.586655762,416.1307148,0.000113583,0,0,1,709.3269027,416.1307148,635400,5609608.748
5,7,LES,UL,2,4345397.154,38361.56167,3831706.428,20.024475,270.2709143,4808,4.3272,0,0,0,0,0,0,0,0,0,0,975523.3464,0.224495785,60.67468115,6.21971E-05,0,1,0,270.2709143,60.67468115,2700,4342697.154
6,17,LES,UL,2,3396593.124,35232.60677,3468549.664,20.024475,175.3722001,3774,3.3966,0,0,0,0,0,0,0,0,0,0,933622.2243,0.274870198,48.20459135,5.16318E-05,0,1,0,175.3722001,48.20459135,517500,2879093.124
7,17,LES,UL,2,1560312.926,35705.89104,3524036.01,20.024475,110.3318994,1743,1.5687,0,0,0,0,0,0,0,0,0,0,23722.11156,0.015203432,1.677423536,7.07114E-05,0,1,0,110.3318994,1.677423536,295200,1265112.926
8,16,LES,UL,2,7089484.085,37475.80482,3730408.392,20.829163,170.4284999,7794,7.0146,0,0,0,0,0,0,0,0,0,0,4935189.44,0.69612815,118.6400763,2.40396E-05,0,1,0,170.4284999,118.6400763,863100,6226384.085
9,30,LES,LO,3,7529101.411,67619.8434,5168176.391,76.717376,1402.943401,8375,7.5375,0,0,0,0,0,0,0,0,0,0,1155781.206,0.153508519,215.3637635,0.000186336,0,0,1,1402.943401,215.3637635,820800,6708301.411
10,12,LES,LO,3,3654343.678,61980.13778,4343103.14,67.57135,714.1599007,4068,3.6612,0,0,0,0,0,0,0,0,0,0,915007.2157,0.250388933,178.8177358,0.000195428,0,0,1,714.1599007,178.8177358,780300,2874043.678
