SEDSB,Topo WAT,SDRf mean,SDRf STD,SDRf best,SDRfp mean,SDRfp STD,SDRfp best,SDRff mean,SDRff STD,SDRff best
1,LO,-2.586569366,0.12512517,0.075654688,-1.004149482,0.056100104,0.366481529,-3.265749259,0.215814935,0.038968858
2,LO,-4.217277365,0.245747753,0.015008849,-0.857813563,0.100216943,0.429812291,-4.372493051,0.278351632,0.012944554
3,LO,-2.223675085,0.112349955,0.10857325,-0.839576814,0.058097815,0.433909022,-3.094225509,0.220026013,0.045886053
4,LO,-3.989249905,0.191054695,0.018981273,-2.188652007,0.061558101,0.113570436,-4.468430656,0.292508066,0.01206618
5,UL,-3.172142405,0.776768569,0.1717835,-0.498871255,0.25990963,0.846185809,-3.22517721,0.792661434,0.171641988
6,UL,-2.87740324,0.830248362,0.207295525,-3.884695645,0.384578907,0.033517868,-2.847471383,0.894312482,0.23607309
7,UL,-2.175330424,0.55909948,0.271671421,-4.055469467,0.237889537,0.023279311,-2.093902408,0.586922025,0.310368012
8,UL,-1.873992042,0.5077286,0.362403628,-0.97605673,0.100049326,0.437927072,-2.091639128,0.645345719,0.355420657
9,LO,-6.720119809,0.583219259,0.00138783,-1E-15,1E-15,0,-6.641726048,0.603891488,0.001529017
10,LO,-4.114602152,0.309177804,0.017712952,-3.486200305,0.221199659,0.034130767,-4.181709721,0.332703853,0.016721667
11,LO,-3.654608144,0.174476457,0.025758681,-0.794988846,0.072604548,0.454557053,-4.068795652,0.235669304,0.017022356
12,LO,-34.53877639,3.69667E-13,0,-1E-15,1E-15,0,-1E-15,1E-15,0
13,LO,-6.328805973,0.46559111,0.002011575,-1E-15,1E-15,0,-6.344129287,0.482489305,0.002012423
14,UL,-1.318478016,0.252538262,0.423959385,-0.721910471,0.068132467,0.545237181,-1.627874576,0.387529775,0.389695349
15,UL,-1.749148316,0.440507778,0.382109441,-0.38855508,0.06862624,0.752721749,-2.157304112,0.662307905,0.348340431
16,UL,-4.321188877,1.559188578,0.096848906,-10.19115584,0.910269006,9.55796E-05,-4.263957118,1.648397387,0.116082835
17,UL,-2.62778592,0.568207559,0.196328362,-2.407591019,0.157735244,0.109488532,-2.803103057,0.765306859,0.219983727
18,UL,-2.249065787,0.60237119,0.299430522,-0.155203751,0.047340864,0.92334227,-2.40645528,0.691544427,0.292001776
19,UL,-2.837075404,0.606963355,0.155053131,-6.963370736,0.066662151,0.001054266,-2.694583468,0.627638002,0.186377835
23,UL,-0.748504327,0.17117807,0.638276895,-0.444303771,0.065866924,0.712440753,-0.964036156,0.262602156,0.602849234
24,UL,-0.374330199,0.026607727,0.717383024,-0.376964073,0.026355127,0.715959534,-0.271148089,0.079874229,0.867431846
25,LO,-2.951625023,0.163333049,0.052623728,-0.868463468,0.067891956,0.422862987,-3.547501626,0.25847134,0.029342824
26,UL,-2.274328685,0.692715257,0.315760441,-2.119425423,0.057834147,0.132332488,-2.327208281,0.719225677,0.317013677
28,LO,-2.392290416,0.13288572,0.0924661,-0.861420652,0.066424444,0.427343048,-3.144754477,0.235764676,0.044170573
29,LO,-2.790152049,0.166695347,0.060637051,-0.669700115,0.06879879,0.510497905,-3.110508015,0.213634053,0.043943967
30,LO,-3.214811472,0.186279434,0.040877221,-1.815441026,0.084773596,0.166637049,-3.679415895,0.273952948,0.025924083
31,UL,-1.662945867,0.266353696,0.303556331,-1.322935312,0.06420205,0.29572601,-1.92574434,0.438642193,0.307115704
32,UL,-3.979673066,1.197839726,0.135509937,-1E-15,1E-15,1E-15,-4.063154968,1.232410394,0.135509937
33,LO,-2.16792753,0.133354044,0.113320987,-0.829263302,0.059691692,0.435622278,-2.554049552,0.184905228,0.07684237
34,LO,-0.924560345,0.075568664,0.398817906,-0.689652477,0.05482321,0.501548087,-1.668764739,0.205668154,0.198155174
35,UL,-2.022009731,0.365880449,0.256518635,-0.484420629,0.061184349,0.680398311,-2.287202472,0.471465664,0.23410832
36,UL,-4.867531369,2.340925397,0.137979838,-1E-15,1E-15,1E-15,-5.058120002,2.486276162,0.137979838
37,LO,-3.874241127,0.245212135,0.02103536,-0.808722313,0.073382654,0.445879305,-4.203316138,0.322693689,0.015407342
38,LO,-1.3229127,0.122538197,0.262384123,-0.653495489,0.065877258,0.51639213,-1.512628145,0.150510584,0.216229402
39,LO,-2.4873777,0.161636714,0.082360434,-0.809731363,0.060386087,0.445582131,-2.840350023,0.219589784,0.057798569
42,UL,-1.921976239,0.395726584,0.303730606,-0.299673219,0.04865882,0.802727472,-2.071365813,0.454142075,0.291033048
44,LO,-5.05757241,0.195715361,0.006443739,-1.12491713,0.081560005,0.331936519,-5.471077971,0.263447205,0.004284282
45,UL,-1.12887296,0.270911674,0.524881789,-0.306482621,0.049440672,0.796906279,-1.376595223,0.372844521,0.485031358
46,UL,-1.981541481,0.551742797,0.352283154,-0.384006688,0.129491825,0.817954902,-2.082524461,0.599300207,0.346221574
47,UL,-3.201614836,0.761959424,0.139320226,-2.528667431,0.273673983,0.114155714,-3.734885618,1.213318324,0.145708617
