Type,ID,SedRed,Cost,Duck
WCMO,1,4.838,6886.033,3.706
WCMO,2,18.195,19471.552,7.198
WCMO,3,5.752,7242.451,4.037
WCMO,4,3.344,11303.304,3.082
WCMO,5,4.281,6188.037,3.595
WCMO,6,3.013,6187.972,2.921
WCMO,7,2.691,16048.75,2.762
WCMO,8,5.111,7563.484,3.815
WCMO,9,8.053,8139.786,4.783
WCMO,10,3.041,6185.117,2.942
WCMO,11,2.287,5891.385,2.547
WCMO,12,33.756,49545.146,9.825
WCMO,13,45.412,51487.072,11.664
WCMO,14,2.456,683.03,2.653
WCMO,15,25.645,49568.955,8.567
WCMO,16,3.399,15945.098,3.122
WCMO,17,3.703,11440.622,3.369
WCMO,18,4.995,1405.286,3.758
WCMO,19,3.964,1115.207,3.336
WCMO,20,2.553,6048.224,2.746
WCMO,21,5.868,8100.107,4.174
WCMO,22,20.02,16365.671,7.71
WCMO,23,149.779,130519.28,21.15
WCMO,24,12.396,11550.456,6.074
WCMO,25,3.661,6018.034,3.246
WCMO,26,4.657,1295.071,3.657
WCMO,27,5.047,6403.692,3.812
WCMO,28,5.73,6593.828,4.077
WCMO,29,44.064,23034.34,11.3
WCMO,30,9.223,2565.805,5.159
WCMO,31,13.907,10683.178,6.34
WCMO,32,2.98,881.047,3.035
WCMO,33,4.084,11692.798,3.567
WCMO,34,14.944,4299.741,6.838
WCMO,35,33.031,22869.432,10.043
WCMO,36,2.16,10880.29,2.57
WCMO,37,175.133,149640.486,23.221
WCMO,38,2.098,16149.615,2.514
WCMO,39,56.807,57050.948,12.784
WCMO,40,3.219,10893.282,3.124
WCMO,41,5.608,6556.609,4.16
WCMO,42,3.832,6122.034,3.538
WCMO,43,76.187,44747.608,15.249
WCMO,45,2.233,5653.854,2.705
WCMO,46,3.283,5961.343,3.274
WCMO,47,8.259,19552.028,5.043
WCMO,48,2.578,762.088,2.82
WCMO,51,21.465,6140.636,7.654
WCMO,52,3.788,16108.968,3.522
WCMO,53,4.583,6341.798,3.872
WCMO,54,21.521,63572.362,7.864
WCMO,55,11.551,30210.336,5.958
WCMO,56,11.405,3281.305,5.639
WCMO,57,2.84,816.702,2.811
WCMO,58,2.872,807.794,2.833
WCMO,59,9.567,2692.418,5.212
WCMO,60,10.235,2880.305,5.372
WCMO,61,2.219,624.23,2.499
WCMO,62,7.134,2007.45,4.493
WCMO,63,3.502,1035.366,3.308
WCMO,64,2.437,6058.032,2.761
WCMO,65,23.161,27811.88,8.527
WCMO,66,8.671,2564.056,5.212
WCMO,67,13.104,16758.369,5.983
WCMO,68,2.107,602.213,2.397
WCMO,69,2.467,16071.045,2.781
WCMO,70,2.706,6110.998,2.867
WCMO,71,3.836,8762.906,3.305
WCMO,72,51.927,64992.772,12.101
WCMO,73,9.141,20925.966,5.315
WCMO,74,16.264,11680.312,6.966
WCMO,75,339.193,668983.082,31.948
WCMO,76,10.586,8130.397,5.73
WCMO,77,34.613,23884.898,9.655
WCMO,78,42.369,46487.268,10.671
WCMO,79,10.781,16561.936,5.336
WCMO,80,4.221,11749.47,3.622
WCMO,81,13.01,18810.194,6.553
WCMO,82,25.622,28617.278,8.887
WCMO,83,2.755,814.578,2.909
WCMO,84,15.86,14362.965,6.848
