Type,ID,SedRed,Cost,Duck,Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
WCMO,1,4.838,6886.033,3.7060000000000004,1,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7010.53125,63094.78125,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.26,0.26,0.1744701,0.21877729999999998,1524.002319,1532.6639400000001,86,90,8002,1064.0350449999999,GBER_CONUS_wet_poly,411.3773193
WCMO,2,18.195,19471.552,7.1979999999999995,2,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,26385.01367,237465.12300000002,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.0837906,0.5426045,14196.16113,14306.5498,114,86,8002,832.8994491000001,GBER_CONUS_wet_poly,158.49481200000002
WCMO,3,5.752000000000001,7242.451,4.037,3,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8335.366211,75018.2959,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.1890309,0.3974112,3283.410889,3310.227295,109,87,10436,671.0262971,GBER_CONUS_wet_poly,218.9168549
WCMO,4,3.344,11303.303999999998,3.082,4,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4844.482422,43600.3418,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.3738527,0.4529385,2274.657227,2192.706543,109,87,8002,866.4704267999999,GBER_CONUS_wet_poly,192.07905580000002
WCMO,5,4.281000000000001,6188.036999999999,3.595,5,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6189.894043,55709.046389999996,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.6312099,0.5667426999999999,3488.867676,3505.698975,211,84,10320,587.5633646000001,GBER_CONUS_wet_poly,148.2154236
WCMO,6,3.013,6187.972,2.9210000000000003,6,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,4415.786133,39742.0752,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.0646143,0.3582547,1683.0803219999998,1580.8491210000002,109,87,8072,539.9666384999999,GBER_CONUS_wet_poly,242.8440094
WCMO,7,2.6910000000000003,16048.75,2.762,7,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3898.287842,35084.590580000004,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.5,clay loam,5.0,Cordova,0.26,0.26,1.429093,0.23988360000000003,913.2369994999999,934.4751587000001,239,92,10436,590.8659291,GBER_CONUS_wet_poly,383.5192566
WCMO,8,5.111000000000001,7563.484,3.815,8,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7406.232422,66656.0918,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.2050844,0.3160673,2304.130371,2339.220459,114,86,8002,658.3193503,GBER_CONUS_wet_poly,272.09396360000005
WCMO,9,8.052999999999999,8139.786,4.783,9,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,11670.83008,105037.4707,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.52891,0.4814174,5693.241699,5614.574219,109,87,5958,323.8943343,GBER_CONUS_wet_poly,180.7163696
WCMO,10,3.0410000000000004,6185.116999999999,2.9419999999999997,10,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4405.172363000001,39646.551269999996,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.666666667,clay loam,5.0,Cordova,0.28,0.28,2.8132452999999997,0.2861296,1251.53064,1259.561523,114,86,8002,418.7268345,GBER_CONUS_wet_poly,300.5631409
WCMO,11,2.287,5891.385,2.5469999999999997,11,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3313.34668,29820.12012,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,1.5908993,0.40994480000000005,1328.221191,1357.330078,109,87,10436,277.80355019999996,GBER_CONUS_wet_poly,212.22367859999997
WCMO,12,33.756,49545.14599999999,9.825,12,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,48987.62891,440888.6602,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,4.25,clay loam,4.333333333,Cordova,0.2233333,0.2233333,0.6635222,2.0756822,102055.0703,101611.2109,106C,86,8002,143.51262140000003,GBER_CONUS_wet_poly,41.432163200000005
WCMO,13,45.412,51487.072,11.664000000000001,13,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,69364.72656,624282.5391,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.785714286,clay loam,5.0,Cordova,0.2628571,0.2628571,0.1973221,0.8643014000000001,60557.28125,59909.66406,94B,90,5958,0.0,GBER_CONUS_wet_poly,104.1303329
WCMO,14,2.456,683.03,2.653,14,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3558.711914,32028.40723,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Minnetonka,0.28,0.28,0.1099348,0.2401042,816.8343506,853.8609008999999,287,77,8002,182.0699186,GBER_CONUS_wet_poly,320.6941528
