Type_x,ID,SedRed,Cost,Duck,Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type_y
ICMO,921,39.207,624818.565,0,2,50,19059,19059,0,0,5908.11551741,15643,177,32020CD2,32,LeSueur River,32020,CD2,PUBLIC DITCH OPEN,BLUE EARTH,108,25,11,MSUWRC,1993,21775.0,102712.0,2,921,50,15128600.1371,315.598462515,308.0,327.0,30,Lower LeSueur,Le Sueur,LS btwn gauges,0.09,LES,2,3,1,LO,3,BT,32400.0001389,5920.17948559,5920.17948559,1,1,1,1,1,1,1,1,1,ICMO
ICMO,922,23.314,441383.019,0,2,58,19059,19059,0,0,4173.59856572,15644,239,32078CD12,32,LeSueur River,32078,CD12,PUBLIC DITCH OPEN,BLUE EARTH,108,26,16,MSUWRC,1993,4868.0,41738.7,1,922,58,10652099.9999,304.579031365,269.0,311.0,64,Lower LeSueur,Le Sueur,LS btwn gauges,0.09,LES,6,3,4,LO,3,BT,25179.999596,4171.9782986,4171.9782986,1,1,1,1,1,1,1,1,1,ICMO
ICMO,923,76.691,624150.595,0,2,722,19059,19059,0,0,5901.79937726,15650,390,32060CD16,32,LeSueur River,32060,CD16,PUBLIC DITCH OPEN,BLUE EARTH,105,25,7,MSUWRC,1993,13652.0,74267.0,1,923,645,12852599.888899997,312.432690662,307.0,318.0,618,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,35,2,27,UM,1,AB,26380.000053,5906.50300155,5906.50300155,1,1,1,1,1,1,1,1,4,ICMO
ICMO,924,21.379,205453.651,0,1,1095,19059,19059,0,0,1942.71420515,15653,1157,32083CD87,32,LeSueur River,32083,CD87,PUBLIC DITCH OPEN,FARIBAULT,103,24,6,MSUWRC,1993,3929.0,122310.0,1,924,1045,6726799.863009999,346.368065053,331.0,358.0,986,Upper Maple,Blue Earth,Map AB UG,0.05,MAP,69,1,28,UM,1,AB,23700.0001257,1943.24619729,1943.24619729,1,1,1,1,1,1,1,1,4,ICMO
ICMO,925,19.057000000000002,159931.677,0,1,1142,19059,19059,0,0,1512.27072027,15654,1163,32039CD39,32,LeSueur River,32039,CD39,PUBLIC DITCH OPEN,FREEBORN,103,23,12,MSUWRC,1993,14192.0,149173.0,2,925,1092,5051299.94685,378.049076475,369.0,394.0,1030,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,MC,1,AB,14879.9997068,1512.708567,1512.708567,1,1,1,1,1,1,1,1,4,ICMO
ICMO,926,12.113,111171.23800000001,0,1,1095,19059,19059,0,0,1051.20519068,15655,1398,32083CD87,32,LeSueur River,32083,CD87,PUBLIC DITCH OPEN,FARIBAULT,103,24,6,MSUWRC,1993,4609.0,120968.0,1,926,1045,6726799.863009999,346.368065053,331.0,358.0,986,Upper Maple,Blue Earth,Map AB UG,0.05,MAP,69,1,28,UM,1,AB,23700.0001257,1050.62593162,1050.62593162,1,1,1,1,1,1,1,1,4,ICMO
ICMO,927,51.651,413919.77,0,1,991,22207,22208,0,0,3913.91350253,15675,1009,32039CD43,32,LeSueur River,32039,CD43,PUBLIC DITCH OPEN,FREEBORN,104,23,17,MSUWRC,1993,4435.0,136924.0,1,927,941,6128999.95322,364.295415239,357.0,378.0,879,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,MC,1,AB,18639.9998854,3920.11932938,3920.11932938,1,1,1,1,1,1,1,1,4,ICMO
ICMO,928,32.172,260208.586,0,1,929,22208,22200,0,0,2460.4620796,15676,1009,32039CD43,32,LeSueur River,32039,CD43,PUBLIC DITCH OPEN,FREEBORN,104,23,17,MSUWRC,1993,109621.0,133842.0,3,928,879,1200.00011399,358.16666666699996,357.0,360.0,884,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,MC,1,AB,220.000010449,2462.54257938,2462.54257938,1,1,1,1,1,1,1,1,4,ICMO
ICMO,929,7.555,63397.513,0,1,991,22209,22208,0,0,599.469753807,15677,1010,32039CD43,32,LeSueur River,32039,CD43,PUBLIC DITCH OPEN,FREEBORN,104,23,17,MSUWRC,1993,3230.0,135435.0,1,929,941,6128999.95322,364.295415239,357.0,378.0,879,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,MC,1,AB,18639.9998854,599.488800745,599.488800745,1,1,1,1,1,1,1,1,4,ICMO
ICMO,930,2.253,18922.038,0,2,965,22216,22217,0,0,178.921678645,15684,1015,32039CD35,32,LeSueur River,32039,CD35,PUBLIC DITCH OPEN,FREEBORN,104,23,14,MSUWRC,1993,86916.0,138324.0,1,930,915,9967700.04788,366.285070779,357.0,377.0,879,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,UL,1,AB,23659.9999238,178.87233982700002,178.87233982700002,1,1,1,1,1,1,1,1,4,ICMO
