Type,ID,SedRed,Cost,Duck,NCMO ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,L_AtanThta,height_m,arcMapA,SA_AtanTht,Load_pTex,loadTrap,Migration,Retreat,Erate,mean_Slope,aspect,VegComb10,probVeg,Prk,Hal,Pal,FPtrap,autoTEmeas,Ecode,Einterp,EextrapAll,VeMeas,VeAll,VeAll_Veg,Shape_Length,Shape_Area
NCMO,1,2.259,7625.166,0,1,MAP,2,50,836,,Le Sueur,Upper Maple,Map AB UG,,1,MAP,28,52,4.52,457,233,19,11,0.0,9999.0,9999.0,27,E,1,0.95,0,0,0,1,0,3,9999.0,0,0,16,16,160.36186730000003,456.8767344
NCMO,526,13.707,5572.236,0,526,COB,2,35,483,,Le Sueur,Upper Cobb,Cobb Upper Cobb,,1,COB,27,38,8.33,522,313,26,12,0.0,0.37,9999.0,31,NE,1,1.0,0,0,0,1,38,3,9999.0,0,0,22,22,156.0033,522.0262498
NCMO,528,7.587999999999999,7771.803000000001,0,528,MAP,3,13,612,,Le Sueur,Lower Maple,Map btwn gauges,,3,MAP,19,53,8.86,770,470,15,11,0.02,0.07,0.04,31,S,1,0.86,0,0,1,1,0,1,0.06,0,19,19,19,178.3930301,770.1669232999999
NCMO,607,609.9209999999999,43404.788,0,607,MAP,3,10,336,,Le Sueur,Lower Maple,Map btwn gauges,,3,MAP,19,296,25.27,9563,7472,962,886,0.14,0.15,0.11,38,SW,0,0.13,0,0,0,1,0,1,0.13,0,822,822,822,876.0379764,9563.190876
NCMO,608,157.87,28447.732999999997,0,608,MAP,3,10,336,,Le Sueur,Lower Maple,Map btwn gauges,,3,MAP,19,194,31.34,9308,6088,249,233,0.14,0.0,0.04,33,E,0,0.16,0,0,0,1,0,1,0.13,0,213,213,213,598.1929882999999,9308.156819
NCMO,609,22.910999999999998,8944.905999999999,0,609,COB,3,7,396,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,16,61,11.49,1094,699,57,47,0.0,0.0,9999.0,33,NW,1,0.98,0,0,0,1,0,3,9999.0,0,0,49,49,267.82832510000003,1093.61165
NCMO,610,94.62799999999999,17009.985,0,610,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,116,12.98,2422,1501,158,134,0.0,0.24,9999.0,32,NW,1,0.9,0,0,0,1,0,3,9999.0,0,0,135,135,428.17634180000005,2422.128988
NCMO,611,201.832,30940.576,0,611,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,211,15.14,4933,3202,337,293,0.0,0.24,9999.0,33,E,1,0.94,0,0,0,1,0,3,9999.0,0,0,288,288,712.1867194,4932.906833
NCMO,612,5.99,3665.945,0,612,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,25,3.91,207,99,10,5,0.0,9999.0,9999.0,25,SW,1,0.95,0,0,0,1,0,3,9999.0,0,0,9,9,84.00190002,207.0100499
NCMO,613,234.173,37685.914,0,613,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,257,14.46,5850,3711,391,337,0.0,0.24,9999.0,32,E,1,0.89,0,0,0,1,0,3,9999.0,0,0,334,334,954.0229002,5850.269247
NCMO,614,140.744,23901.961,0,614,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,163,13.72,3797,2235,235,201,0.0,9999.0,9999.0,30,NW,1,0.94,0,0,0,1,0,3,9999.0,0,0,201,201,601.788266,3797.1972840000003
NCMO,615,74.86399999999999,14663.78,0,615,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,100,11.85,2126,1187,125,104,0.0,9999.0,9999.0,29,NW,1,0.89,0,0,0,1,0,3,9999.0,0,0,107,107,394.8734643,2126.2689179999998
NCMO,616,206.62400000000002,33433.418,0,616,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,228,14.34,5517,3273,345,297,0.0,0.2,9999.0,31,E,1,0.92,0,0,0,1,0,3,9999.0,0,0,295,295,912.0252002000001,5517.253197
NCMO,617,10.182,4105.858,0,617,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,28,5.77,297,162,17,11,0.0,9999.0,9999.0,29,NW,1,0.89,0,0,0,1,0,3,9999.0,0,0,15,15,120.0016,297.0066
NCMO,618,55.1,17743.174,0,618,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,121,7.26,1476,876,92,67,0.0,0.09,9999.0,31,NW,1,0.89,0,0,0,1,0,3,9999.0,0,0,79,79,468.0025001,1476.01485
NCMO,619,51.507,16130.158000000001,0,619,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,110,7.46,1495,821,86,63,0.0,9999.0,9999.0,29,E,1,0.94,0,0,0,1,0,3,9999.0,0,0,74,74,434.86728330000005,1494.9379900000001
NCMO,620,166.497,29914.111,0,620,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,204,12.97,4022,2641,278,235,0.0,9999.0,9999.0,33,SW,1,0.9,0,0,0,1,0,3,9999.0,0,0,238,238,783.3057675,4021.888582
NCMO,621,109.656,20529.292,0,621,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,140,12.0,2763,1685,177,148,0.0,0.11,9999.0,31,S,1,0.88,0,0,0,1,0,3,9999.0,0,0,152,152,497.86344069999996,2762.6409670000003
NCMO,622,102.22200000000001,19796.103,0,622,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,135,11.65,2107,1570,165,137,0.0,0.11,9999.0,37,W,0,0.87,0,0,0,1,0,3,9999.0,0,0,141,141,461.20876289999995,2107.4329559999996
