Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Sedrank,bcr,bcr_epis,SedRed_epis
6666,4.602,5668.223,6,1327.706028,3481.568848,8,0.000811895,0,0
6665,5.734,5889.72,6,1209.707845,4635.606445,7,0.000973561,0,0
6661,6.984,6134.484,6,840.8359684,5910.874512,6,0.001138482,0,0
6654,7.821,6298.307,6,1254.231703,6764.421387,5,0.001241762,0,0
6660,9.132,6554.85,6,567.7764493,8101.058594,4,0.001393167,0.001393167,9.132
6664,72.29,23705.037,6,55.20019478,71405.79688,3,0.003049563,0.003049563,72.29
7585,111.076,26095.365,6,1104.634468,109910.7813,2,0.004256541,0.004256541,111.076
6659,139.65,36720.689,6,465.2070471,139219.7656,1,0.003803033,0.003803033,139.65
9455,3.599,5781.485,9,377.023031,4071.681397,3,0.000622504,0,0
9459,6.458,11708.819,9,0,8903.262695,2,0.00055155,0.00055155,6.458
9425,17.607,15332.304,9,58.26866213,27782.29688,1,0.00114836,0.00114836,17.607
4895,5.093,687.837,12,564.2673418,3583.761231,4,0.007404371,0,0
5334,9.012,1378.279,12,901.2258194,7181.090332,3,0.006538589,0,0
4748,31.678,5378.57,12,928.3831025,28023.35352,2,0.00588967,0.00588967,31.678
4894,40.842,6999.232,12,691.815297,36467.30469,1,0.005835212,0.005835212,40.842
13202,2.938,5590.325,15,573.2110342,3075.701904,12,0.000525551,0,0
13201,3.002,5603.072,15,523.5052217,3142.116211,11,0.000535778,0,0
13205,4.603,686.414,15,763.0676089,3576.342529,10,0.006705866,0,0
13197,5.181,5810.741,15,248.4970322,4224.112793,9,0.000891625,0,0
13196,6.616,6101.854,15,19.08177652,5740.865234,8,0.001084261,0,0
13198,9.59,17504.872,15,0,8886.371094,7,0.000547847,0,0
13194,10.418,6873.802,15,40.82532941,9762.859375,6,0.00151561,0.00151561,10.418
13200,13.128,7423.789,15,268.8339048,12628.39258,5,0.001768369,0.001768369,13.128
13133,13.243,12447.229,15,295.3630052,12750.5166,4,0.001063932,0.001063932,13.243
13132,17.697,3351.425,15,187.7071142,17461.55078,3,0.00528044,0.00528044,17.697
13136,36.54,7107.088,15,543.6852983,37029.25,2,0.005141346,0.005141346,36.54
12149,42.186,13324.235,15,265.2009354,43370.81641,1,0.00316611,0.00316611,42.186
10274,3.449,10712.005,97,460.8750605,3709.68042,1,0.000321975,0.000321975,3.449
12146,4.868,10978.699,113,19.55793904,3255.191406,4,0.000443404,0,0
12144,5.225,5819.524,113,197.3577756,4269.873535,3,0.00089784,0,0
12581,11.338,6723.381,113,306.4186949,8979.136719,2,0.001686354,0.001686354,11.338
12582,19.768,9943.149,113,0,16441.10547,1,0.001988103,0.001988103,19.768
13331,5.44,6112.211,134,1366.749279,4134.174316,8,0.000890022,0,0
12605,5.544,11604.642,134,818.5534849,4247.84082,7,0.00047774,0,0
12589,8.504,1369.279,134,0,7134.198242,6,0.006210568,0,0
13328,13.181,8171.671,134,822.4742539,11789.35059,5,0.001613012,0,0
