cluster_id,Site_ID
1,[4578]
2,"[4965, 4576, 4577]"
6,"[6664, 6659, 6660, 6661, 7585, 6665, 6654, 6666]"
9,"[9459, 9425, 9455]"
11,[1770]
12,"[4895, 4894, 5334, 4748]"
13,[150]
15,"[13198, 13196, 13194, 13132, 13197, 12149, 13200, 13133, 13201, 13136, 13202, 13205]"
26,[16386]
29,"[7089, 7087, 6597, 6598, 6595, 6596, 6594, 6609]"
30,[3453]
31,"[16191, 17148]"
35,"[2595, 3344]"
36,[6311]
37,"[3206, 2590]"
46,"[5923, 6559, 6130, 5917, 5915, 6558, 6126, 6563, 6124, 6557, 5913, 5916, 5911, 5910, 5909]"
63,[5075]
71,[72]
86,"[1330, 1397, 1597, 1621, 1620]"
88,[6490]
97,[10274]
101,[5201]
113,"[12582, 12146, 12144, 12581]"
115,"[4395, 4394, 4396, 4141]"
121,[75]
127,[317]
134,"[12589, 12590, 13301, 12605, 13328, 12604, 13331, 13333]"
135,"[11525, 11522]"
138,[3616]
139,"[10374, 10372, 10375, 10382, 10384]"
140,[10379]
141,[303]
142,"[18076, 18112, 18110, 18109, 18107, 18108]"
144,"[3846, 3857, 3842]"
148,"[7470, 7471, 7465, 7466, 8783, 7469, 8758, 8753, 8182, 8761]"
149,"[7419, 7418, 7409, 11338, 7997]"
150,"[7460, 8074, 8755, 8757, 8756, 7839, 7467, 7837, 8759, 8760, 8726, 8076, 8754, 8767, 8729, 8075, 8766, 8724, 8723, 8765]"
151,"[2813, 2820]"
152,"[3679, 3381, 3382, 3685, 3375, 3376, 3683, 3686, 4354, 3688]"
153,"[3880, 3885, 3881]"
155,"[149, 4913, 4254, 4916, 4918, 4920, 4922, 4912, 4914, 4253, 4248]"
156,"[321, 7416, 7417, 7963, 6768, 6763, 7965, 7414, 7967]"
157,"[4458, 4463, 4481, 4483, 4457]"
162,"[8751, 9155]"
168,[15432]
169,"[7836, 7459]"
