Type_x,ID,SedRed,Cost,Duck,Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type_y
ICMO,1274,24.073,250245.485,0,1,613,24294,24226,0,0,2366.253687,17599,1277,32056JD49,32,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,105,27,16,MSUWRC,1993,39712,70137.6,3,1274,779,2595200.032,312.8990829,307,320,740,Upper Maple,Le Sueur,Map AB UG,0.06,MAP,52,2,23,UM,2,AB,13020.00022,2372.110853,2372.110853,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1275,5.911,51661.418,0,1,613,24355,24294,0,0,488.4964105,17648,1277,32056JD49,32,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,105,27,16,MSUWRC,1993,7783,71618.1,2,1275,779,2595200.032,312.8990829,307,320,740,Upper Maple,Le Sueur,Map AB UG,0.06,MAP,52,2,23,UM,2,AB,13020.00022,490.5707156,490.5707156,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1276,5.511,47290.528,0,1,761,24360,24361,0,0,447.1664572,17651,257,32056JD38,32,LeSueur River,32056,JD38,PUBLIC DITCH OPEN,BLUE EARTH,105,27,19,MSUWRC,1993,42367,67718,3,1276,684,1672600.058,308.5231376,304,318,648,Upper Maple,Le Sueur,Map AB UG,0.06,MAP,52,2,23,UM,2,AB,8560.000207,445.8750796,445.8750796,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1277,1.489,16322.25,0,1,800,24226,24455,0,0,154.3387825,17747,1277,32056JD49,32,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,105,27,16,MSUWRC,1993,39781,68756.7,1,1277,723,4836399.964,313.0773302,305,320,684,Upper Maple,Le Sueur,Map AB UG,0.06,MAP,52,2,23,UM,2,AB,15660.00014,154.8678381,154.8678381,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1278,13.477,134382.267,0,1,800,24455,24361,0,0,1270.682402,17762,511,32056JD49,32,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,105,27,16,MSUWRC,1993,42328,68101.1,1,1278,723,4836399.964,313.0773302,305,320,684,Upper Maple,Le Sueur,Map AB UG,0.06,MAP,52,2,23,UM,2,AB,15660.00014,1275.093698,1275.093698,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1279,12.508,123789.952,0,1,761,24361,24359,0,0,1170.524341,17763,511,32056JD49,32,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,105,27,16,MSUWRC,1993,51249,67136.5,2,1279,684,1672600.058,308.5231376,304,318,648,Upper Maple,Le Sueur,Map AB UG,0.06,MAP,52,2,23,UM,2,AB,8560.000207,1175.130182,1175.130182,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1280,9.721,93314.633,0,1,725,24359,24435,0,0,882.3579588,17764,511,32056JD49,32,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,105,27,16,MSUWRC,1993,64493,66382.2,3,1280,648,2441400.12,312.1484394,304,319,656,Upper Maple,Blue Earth,Map AB UG,0.19,MAP,52,2,23,UM,2,AB,10980.00012,880.1279591,880.1279591,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1281,17.22,175311.307,0,1,733,24435,24315,0,0,1657.696349,17765,511,32056JD49,32,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,105,27,16,MSUWRC,1993,67261,65089,3,1281,656,2917900.049,312.2826348,304,329,657,Upper Maple,Le Sueur,Map AB UG,0.06,MAP,52,2,23,UM,2,AB,10300.00009,1654.241864,1654.241864,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1282,18.619,190610.528,0,5,734,24315,24464,0,0,1802.361645,17766,511,32056JD49,32,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,105,27,16,MSUWRC,1993,75003,63229.7,1,1282,657,4478399.98,310.6726733,295,330,612,Upper Maple,Le Sueur,Map AB UG,0.1,MAP,52,2,23,LO,2,AB,13880.00006,1802.859082,1802.859082,1,1,1,1,1,1,1,1,4,ICMO
ICMO,1211,10.215,98760.526,0,1,415,23811,23812,0,0,933.8528496,17163,444,32062CD97,32,LeSueur River,32062,CD97,PUBLIC DITCH OPEN,BLUE EARTH,106,27,16,MSUWRC,1993,15456,42819.8,1,1211,415,4893700,304.3524123,286,308,353,Lower Maple,Blue Earth,Map btwn gauges,0.19,MAP,13,3,19,LO,3,BT,17899.99985,933.2272917,933.2272917,1,1,1,1,1,1,1,1,4,ICMO
