ClusterID,Size,Sites,SedRed,AreaM2,SedRank,SedEps
113,3,[12146 12581 12582],[ 4.868 11.338 19.768],[ 3255.191406  8979.136719 16441.10547 ],[2],[ 0.    11.338 19.768]
168,1,[15432],[256.111],[235262.6875],[0],[0.]
384,1,[17194],[125.098],[114615.1094],[0],[0.]
433,16,"[16464 16057 16460 16483 16475 16472 16471 16482 16480 16476 16060 17209
 16466 16463 16465 16056]","[  5.048   5.742   6.461   8.728   9.032   9.692  13.533  16.503  20.602
  20.812  24.609  28.405  30.221  50.596  53.788 606.421]","[  3475.065186   4099.687988   4747.274902   6787.409668   7061.344238
   7655.858398  11114.46582   13788.8916    17481.21289   17670.82031
  21091.58398   24512.81445   26148.77148   44523.01172   47403.
 543664.5     ]",[ 8  9 10 11 12 13 14 15],"[  0.      0.      0.      0.      0.      0.      0.      0.     20.602
  20.812  24.609  28.405  30.221  50.596  53.788 606.421]"
438,1,[17212],[18.738],[16372.24707],[0],[0.]
471,5,[10621  9938 10623 10624 10622],[ 34.624  76.271  90.639 105.727 423.338],[ 26590.7168   67514.45313  80664.15625  94481.60156 382731.1563 ],[3 4],[  0.      0.     90.639 105.727 423.338]
488,3,[14450 14811 15454],[ 7.137 78.602 95.963],[ 5309.455566 68550.78125  84201.4375  ],[2],[ 0.    78.602 95.963]
498,6,[18147 18149 17610 18152 17602 18516],[ 4.609 10.046 10.23  11.991 22.874 33.843],"[ 3161.794678  8156.17041   8325.547852  9947.779297 19971.96289
 30078.72852 ]",[3 4 5],[ 0.     0.     0.    11.991 22.874 33.843]
504,3,[15464 16441 15463],[ 5.755 17.77  43.687],[ 4076.035889 14802.12988  37963.74609 ],[2],[ 0.    17.77  43.687]
507,3,[18175 17190 18178],[111.515 218.518 378.109],[102390.9063 201075.2813 350507.    ],[2],[  0.    218.518 378.109]
516,2,[13938 13939],[ 7.822 84.602],[ 5731.549805 71252.59375 ],[1],[ 0.    84.602]
526,3,[14483 14482 14099],[  5.114  11.396 527.336],[  3391.78418    8820.654297 458152.9063  ],[2],[  0.     11.396 527.336]
527,4,[13135 13140 13069 13137],[ 6.372  7.725 13.152 60.909],[ 4585.386231  5647.905762 10584.62402  51703.71094 ],[2 3],[ 0.     0.    13.152 60.909]
529,5,[18131 18137 18442 18130 18441],[ 5.031 11.338 22.477 25.012 85.813],[ 3537.966065  9344.853516 19604.10742  21939.54883  76911.03906 ],[3 4],[ 0.     0.    22.477 25.012 85.813]
530,8,[16442 16453 16450 16443 16445 16454 16449 16458],[   5.438    5.462    6.471    7.396    8.037   81.872  592.169 1347.437],"[   3792.63794     3814.219971    4714.308106    5540.291992
    6112.540039   70785.42969   526821.5      1214686.375   ]",[4 5 6 7],[   0.       0.       0.       0.       8.037   81.872  592.169 1347.437]
574,6,[14079 13083 14070 14760 14077 14069],[  5.77   25.058  27.726  43.483  53.546 104.09 ],"[ 3973.192383 20711.17578  23028.35547  36725.00391  45479.94922
 88523.40625 ]",[3 4 5],[  0.      0.      0.     43.483  53.546 104.09 ]
575,6,[16067 16065 16062 16061 16068 16070],[  8.899  10.474  14.804  20.034  24.253 111.538],"[ 6941.508789  8359.553711 12259.43555  16969.4668   20770.9707
 98518.32813 ]",[3 4 5],[  0.      0.      0.     20.034  24.253 111.538]
579,7,[18514 17593 18515 17603 18520 18518 17604],[ 4.578  4.889  7.232  8.13  14.188 25.748 29.739],"[ 3121.549072  3408.028809  5565.112305  6391.529785 11971.41895
 22619.85742  26294.51953 ]",[4 5 6],[ 0.     0.     0.     8.13  14.188 25.748 29.739]
584,14,"[15238 15215 15518 15509 15510 15512 15514 15508 15517 15507 15240 15516
 15515 15511]","[ 5.128  5.386  5.786  9.947 11.234 11.318 17.041 26.728 26.944 31.019
 32.378 34.024 42.444 46.539]","[ 3547.026856  3778.850342  4139.53125   7885.339844  9043.759766
  9119.729492 14273.79785  23001.54492  23195.49219  26868.03125
 28093.70117  29577.29883  37169.76563  40862.9375  ]",[ 7  8  9 10 11 12 13],"[ 0.     0.     0.     0.     0.     0.     0.    26.728 26.944 31.019
 32.378 34.024 42.444 46.539]"
647,1,[17188],[5.346],[3809.812256],[0],[0.]
675,4,[15230 15229 14484 15231],[ 8.633 19.211 30.247 88.601],[ 6432.216309 15577.54297  25127.09766  74730.64844 ],[2 3],[ 0.     0.    30.247 88.601]
677,2,[17189 17191],[ 5.503 11.394],[3953.537109 9352.03125 ],[1],[ 0.    11.394]
691,12,[14075 14074 14082 14078 14808 14073 15453 14076 14086 14810 14087 14080],"[  5.053   5.683   5.951   6.293   7.453   9.041   9.154   9.483  18.719
  66.411  69.356 346.08 ]","[  3351.282715   3898.060303   4129.823242   4583.120117   5624.542969
   6810.314941   7151.432617   7762.942871  15741.21387   58637.66406
  60220.72266  298649.      ]",[ 6  7  8  9 10 11],"[  0.      0.      0.      0.      0.      0.      9.154   9.483  18.719
  66.411  69.356 346.08 ]"
697,6,[18181 18183 18182 17192 17195 18185],[ 5.57   5.805  7.269 38.799 39.354 57.726],"[ 4015.501709  4230.479492  5571.938477 34477.78516  34987.33203
 51845.67969 ]",[3 4 5],[ 0.     0.     0.    38.799 39.354 57.726]
841,1,[10922],[54.964],[46791.35938],[0],[0.]
876,2,[11831 11829],[ 6.    56.351],[ 4258.242676 48889.52344 ],[1],[ 0.    56.351]
899,1,[10914],[13.954],[10139.19434],[0],[0.]
920,1,[11297],[7.469],[5558.720703],[0],[0.]
1004,1,[12584],[7.28],[5389.027344],[0],[0.]
1033,4,[18158 17605 18148 18163],[ 4.714  6.084 11.064 12.555],[ 3314.553711  4601.162598  9128.263672 10506.87891 ],[2 3],[ 0.     0.    11.064 12.555]
1043,3,[15168 15166 14809],[16.572 23.507 24.295],[14135.72852 20510.61523 21234.60352],[2],[ 0.    23.507 24.295]
1175,3,[16053 16054 16058],[ 5.006  7.243 17.812],[ 3561.513916  5648.676758 14967.97559 ],[2],[ 0.     7.243 17.812]
1344,4,[15958 15949 15943 15953],[12.714 18.338 20.098 35.146],[10720.76367 15952.49609 17589.44336 31592.35352],[2 3],[ 0.     0.    20.098 35.146]
1587,8,[16418 16424 16423 16421 17125 16395 16419 16422],[  7.214  13.208  19.987  22.025  29.019  53.821  94.369 178.822],"[  5604.952148  11263.01367   17615.42383   19524.91602   25631.04492
  48976.59766   85644.77344  164447.2344  ]",[4 5 6 7],[  0.      0.      0.      0.     29.019  53.821  94.369 178.822]
1622,1,[13879],[25.322],[21583.5332],[0],[0.]
1850,10,[18127 18517 18129 18133 18521 17595 18519 18134 18132 18136],[ 5.301  5.541  8.625 10.427 11.827 24.976 32.749 33.767 63.725 75.065],"[ 3787.08252   4007.783691  6846.878906  8506.866211  9795.363281
 21905.83984  29067.64453  30005.60156  57625.15625  66991.46094 ]",[5 6 7 8 9],[ 0.     0.     0.     0.     0.    24.976 32.749 33.767 63.725 75.065]
1916,2,[18172 18171],[ 8.634 42.122],[ 6644.818359 38380.08203 ],[1],[ 0.    42.122]
1980,2,[15462 15488],[12.571 20.105],[10159.30176 16886.87891],[1],[ 0.    20.105]
2012,1,[10275],[34.11],[29157.79297],[0],[0.]
2109,1,[11587],[4.986],[3361.276367],[0],[0.]
2148,1,[12019],[29.524],[24631.26953],[0],[0.]
2192,5,[18187 18186 18190 18188 18189],[ 15.348  17.63   24.243  49.206 123.239],[ 13073.91406  15181.37793  21289.36523  44356.37891 110963.3359 ],[3 4],[  0.      0.     24.243  49.206 123.239]
2294,1,[15170],[9.498],[7809.851563],[0],[0.]
2347,5,[14757 15122 15456 15458 15460],[  6.082   6.238   9.454  13.708 108.174],[ 4569.92627   4715.476074  7718.118652 11240.20313  95218.51563 ],[3 4],[  0.      0.      9.454  13.708 108.174]
