Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Cluster_size,Sedrank
12146,4.868,10978.699,113,19.55793904,3255.191406,3,3
12581,11.338,6723.381,113,306.4186949,8979.136719,3,2
12582,19.768,9943.149,113,0,16441.10547,3,1
15432,256.111,80733.59,168,0,235262.6875,1,1
17194,125.098,41998.275,384,0,114615.1094,1,1
16464,5.048,5666.975,433,801.8526118,3475.065186,16,16
16057,5.742,11232.604,433,940.4545078,4099.687988,16,15
16460,6.461,16427.306,433,805.0577253,4747.274902,16,14
16483,8.728,6302.719,433,0,6787.409668,16,13
16475,9.032,6355.296,433,163.0131695,7061.344238,16,12
16472,9.692,6469.402,433,188.1465589,7655.858398,16,11
16471,13.533,7133.219,433,5.277040734,11114.46582,16,10
16482,16.503,7646.526,433,500.5206395,13788.8916,16,9
16480,20.602,8355.199,433,277.503621,17481.21289,16,8
16476,20.812,8391.591,433,0,17670.82031,16,7
16060,24.609,9048.144,433,1022.989154,21091.58398,16,6
17209,28.405,9704.787,433,62.36237295,24512.81445,16,5
16466,30.221,17861.835,433,265.9700598,26148.77148,16,4
16463,50.596,22671.075,433,1138.972573,44523.01172,16,3
16465,53.788,24252.087,433,329.6140767,47403,16,2
16056,606.421,114346.462,433,1480.94835,543664.5,16,1
17212,18.738,8142.354,438,369.3914062,16372.24707,1,1
10621,34.624,5103.602,471,0,26590.7168,5,5
9938,76.271,12958.165,471,772.5552753,67514.45313,5,4
10623,90.639,20482.01,471,465.7037253,80664.15625,5,3
10624,105.727,23134.016,471,1134.877598,94481.60156,5,2
10622,423.338,78458.249,471,407.1943249,382731.1563,5,1
14450,7.137,6019.053,488,205.010643,5309.455566,3,3
14811,78.602,13157.069,488,362.5320713,68550.78125,3,2
15454,95.963,44470.731,488,1009.367742,84201.4375,3,1
18147,4.609,606.849,498,1130.064622,3161.794678,6,6
18149,10.046,1565.428,498,31.09670423,8156.17041,6,5
17610,10.23,6597.937,498,810.470566,8325.547852,6,4
18152,11.991,11909.294,498,0,9947.779297,6,3
17602,22.874,3833.253,498,797.7052982,19971.96289,6,2
18516,33.843,15773.062,498,107.8685137,30078.72852,6,1
15464,5.755,6225.492,504,139.9663879,4076.035889,3,3
16441,17.77,12669.136,504,85.57438829,14802.12988,3,2
15463,43.687,24669.409,504,220.4386311,37963.74609,3,1
18175,111.515,24652.063,507,135.5801904,102390.9063,3,3
17190,218.518,48592.724,507,119.3421198,201075.2813,3,2
18178,378.109,109752.923,507,0,350507,3,1
13938,7.822,11100.066,516,816.0574276,5731.549805,2,2
13939,84.602,18675.633,516,439.1225361,71252.59375,2,1
14483,5.114,5650.991,526,358.9441946,3391.78418,3,3
14482,11.396,6692.963,526,183.695901,8820.654297,3,2
14099,527.336,140388.527,526,0,458152.9063,3,1
13135,6.372,5880.081,527,22.06334004,4585.386231,4,4
13140,7.725,11607.372,527,171.8209736,5647.905762,4,3
13069,13.152,8182.351,527,15.89146589,10584.62402,4,2
13137,60.909,19923.582,527,178.6329446,51703.71094,4,1
18131,5.031,6063.718,529,854.1687129,3537.966065,5,5
18137,11.338,8825.635,529,551.7607077,9344.853516,5,4
18442,22.477,26551.531,529,695.5344003,19604.10742,5,3
18130,25.012,26014.717,529,1058.799511,21939.54883,5,2
18441,85.813,58210.648,529,900.1311355,76911.03906,5,1
