Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,2264,2.628,6170.420999999999,3.2089999999999996,2264,COB,3,10,192,136,Le Sueur,Lower LeSueur,Cobb BL LG,BL,3,LO,4,4350.54834,39154.93506,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Minnetonka,0.28,0.28,0.10320850000000001,0.3435727,1447.128296,1493.758179,211,79,928,786.0698271000001,NCED easement_GBERB,229.9367523,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,2266,17.022000000000002,10415.461,8.179,2266,COB,3,10,192,136,Le Sueur,Lower LeSueur,Cobb BL LG,BL,3,LO,4,28215.56055,253940.0449,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,1.8,silty clay loam,5.0,Shorewood,0.28,0.28,0.1598542,1.2218375,34540.125,34452.41406,448,91,928,494.17028600000003,NCED easement_GBERB,74.4779892,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,2267,28.874000000000002,31583.036,10.645,2267,COB,3,10,192,136,Le Sueur,Lower LeSueur,Cobb BL LG,BL,3,LO,4,47910.50781,431194.5703,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.75,silty clay,5.0,Lura,0.28,0.28,1.0613015,0.3437392,16315.923830000002,16457.98828,211,86,928,758.8590942000001,NCED easement_GBERB,250.1897125,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,2785,8.71,7950.064,6.065,2785,COB,3,10,206,192,Le Sueur,Lower Cobb,Cobb BL LG,BL,3,LO,4,15370.384769999999,138333.4629,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,1.0,Frequent,0.5,silt loam,5.0,Barbert,0.28,0.28,0.5323922,0.4808483,7322.357422,7386.030762,319,90,3529,915.6565637,GBER_CONUS_wet_poly,187.16922,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,2786,5.381,12032.395,4.2589999999999995,2786,COB,3,10,272,192,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,7554.571776999999,67991.146,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,1.0,Frequent,0.833333333,silt loam,5.0,Barbert,0.28,0.28,0.3909006,0.2776586,2091.6020510000003,2096.233643,319,86,3529,617.6485639,GBER_CONUS_wet_poly,309.7329407,13,SB13,6895.871037999999,27906624.67,3,F,COB,11,2,20782.396819999998,0.102067467,33.5,2.18,34.73,72.91,M14.92,0.04,0.035,24.94284092,833.2008726,0.49969219200000004,0.980897274,0.99998824,-0.980885514,1,0.23144468699999998
WCMO,2787,4.796,7276.331,4.4910000000000005,2787,COB,3,10,206,192,Le Sueur,Lower Cobb,Cobb BL LG,BL,3,LO,4,8461.301758,76151.71582,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.666666667,silty clay loam,5.0,Minnetonka,0.31,0.31,0.0833063,0.3724682,3077.332275,3149.5161129999997,219,82,11312,762.7393112000001,GBER_CONUS_wet_poly,220.1529999,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,2788,4.381,17128.658,3.84,2788,COB,3,10,272,192,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,6149.964844,55349.68359,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Baroda,0.28,0.28,0.4651295999999999,0.28753959999999995,1793.3842769999999,1767.209839,364,86,3529,817.0700031,GBER_CONUS_wet_poly,299.0892639,13,SB13,6895.871037999999,27906624.67,3,F,COB,11,2,20782.396819999998,0.102067467,33.5,2.18,34.73,72.91,M14.92,0.04,0.035,24.94284092,833.2008726,0.49969219200000004,0.980897274,0.99998824,-0.980885514,1,0.23144468699999998
WCMO,2981,3.52,948.283,3.471,2981,COB,3,10,272,192,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,4940.729004,44466.56104,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Minnetonka,0.28,0.28,0.0620778,0.08453279999999999,431.3708801,417.3867798,364,77,3529,854.6263819000001,GBER_CONUS_wet_poly,910.8889770999999,13,SB13,6895.871037999999,27906624.67,3,F,COB,11,2,20782.396819999998,0.102067467,33.5,2.18,34.73,72.91,M14.92,0.04,0.035,24.94284092,833.2008726,0.49969219200000004,0.980897274,0.99998824,-0.980885514,1,0.23144468699999998
WCMO,2982,3.431,924.221,3.438,2982,COB,3,10,272,192,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,4815.362793,43338.265139999996,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,1.0,Frequent,0.75,silt loam,5.0,Barbert,0.28,0.28,0.0847678,0.11508900000000001,550.0105591,553.842041,364,82,3529,172.2876362,GBER_CONUS_wet_poly,712.4918213,13,SB13,6895.871037999999,27906624.67,3,F,COB,11,2,20782.396819999998,0.102067467,33.5,2.18,34.73,72.91,M14.92,0.04,0.035,24.94284092,833.2008726,0.49969219200000004,0.980897274,0.99998824,-0.980885514,1,0.23144468699999998
WCMO,2988,4.7330000000000005,6109.951,3.677,2988,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,5783.052246,52047.47021,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Marna,0.28,0.28,0.2083286,0.1369855,809.9952392999999,791.6704712000001,110,87,908,1077.104987,NCED easement_GBERB,635.1037597999999,12,SB12,5586.212517,22606619.99,3,Y,COB,13,0,947.8427125,0.7360560890000001,17.0,1.54,17.89,26.13,M85.68,0.04,0.035,52.59230511,18.02245995,0.499339056,0.9995829009999999,0.999999449,-0.9995823490000001,1,0.005006239
