Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,3261,55.9,31628.192000000003,11.315,3261,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,58990.75391,530916.7852,Herbaceuous,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.3,silty clay loam,4.4,Marna,0.228,0.228,0.5391543000000001,0.8962209000000001,52920.94531,52832.02734,110,86,13279,268.2556375,GBER_CONUS_wet_poly,95.9584885,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3269,7.035,12072.888,3.988,3269,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,7353.850586,66184.65527,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Marna,0.28,0.28,0.2728992,0.383524,2826.955322,2818.415772,110,87,13279,213.41993760000003,GBER_CONUS_wet_poly,226.8437042,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3272,3.385,10678.669,2.7680000000000002,3272,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,3535.990723,31823.9165,Herbaceuous,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,4.25,Marna,0.215,0.215,2.3875544,0.802003,2923.301025,2833.718018,110,84,13279,207.0772023,GBER_CONUS_wet_poly,104.7377625,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3295,4.584,5919.204000000001,3.228,3295,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,4789.225586,43103.030269999996,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Marna,0.28,0.28,0.051692300000000004,0.35506259999999995,1668.0842289999998,1699.296875,110,87,13279,595.2266581,GBER_CONUS_wet_poly,245.0271912,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3297,25.072,25048.188,7.562,3297,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,26302.0,236718.0,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.833333333,silty clay loam,5.0,Marna,0.28,0.28,0.20814000000000002,0.7072613,18561.36719,18589.48047,110,85,13279,439.33379160000004,GBER_CONUS_wet_poly,120.1818848,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3677,11.167,7242.358,5.015,3677,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,11683.10254,105147.9229,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Marna,0.28,0.28,0.32899470000000003,0.303079,3584.211914,3538.4326170000004,110,87,11748,415.3768178,GBER_CONUS_wet_poly,287.053894,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3678,114.46,48444.222,16.242,3678,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,122148.7656,1099338.8909999998,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.277777778,silty clay loam,4.1111111110000005,Marna,0.2222222,0.2222222,0.4499785,1.1354676000000001,138695.0938,138598.6875,110,80,4883,0.0,GBER_CONUS_wet_poly,70.4555511,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3704,7.836,16572.36,4.177,3704,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,8192.289063,73730.60156,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.25,silty clay loam,5.0,Marna,0.28,0.28,1.3150859,0.1744027,1426.788086,1427.752441,211,87,780,714.8692778,NCED easement_GBERB,498.84561160000004,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3705,7.489,1502.668,4.073,3705,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,7829.181151999999,70462.63037,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.833333333,silty clay loam,5.0,Marna,0.28,0.28,0.5362723,0.2095249,1629.265991,1639.252075,211,84,780,62.58139597,NCED easement_GBERB,400.90695189999997,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
WCMO,3732,5.8870000000000005,11180.898000000001,3.625,3732,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,6152.696777,55374.27099999999,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Marna,0.28,0.28,0.5037163,0.2683736,1608.63147,1650.0625,211,84,780,1070.538427,NCED easement_GBERB,312.9964905,5,SB5,13281.29649,53747547.51,3,F,LES,4,1,14294.21356,0.041766648999999996,25.0,3.14,31.28,78.57,L50.83,0.04,0.035,17.98272601,794.8858008999999,0.49842076,0.98176813,0.999942415,-0.981710545,1,0.220801611
