Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,7464,11.173,2464.652,4.859,7464,LES,1,30,560,530,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,12841.29492,115571.6543,Cultivated Crops,All areas are prime farmland,Moderately well drained,Partially Hydric,0.5,None,2.0,silt loam,5.0,Madelia,0.2933333,0.2933333,0.0906622,0.6079628,7780.708008,7801.09668,L86A,91,190,484.7635395,NCED easement_GBERB,149.6802063,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,7465,28.95,11390.048,7.848,7465,LES,1,30,560,530,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,33293.33984,299640.0586,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,2.4,silty clay loam,4.8888888889999995,Spicer,0.27555559999999996,0.27555559999999996,0.31440640000000003,0.8662173000000001,28837.24023,28817.38672,L103A,90,148,222.90334539999998,NCED easement_GBERB,103.900032,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,7466,2.9760000000000004,10656.248,2.517,7466,LES,1,30,560,530,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,3419.1757810000004,30772.58203,Cultivated Crops,Farmland of statewide importance,Well drained,Partially Hydric,0.5,None,2.233333333,loam,5.0,Reedslake,0.24,0.24,1.6102867,0.18532920000000003,630.4900512999999,633.1926269999999,L107A,91,148,248.538939,NCED easement_GBERB,491.01803590000003,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,7471,3.537,5779.916,2.753,7471,LES,1,30,560,530,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,4063.507813,36571.57031,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,1.5,loam,5.0,Delft,0.24,0.24,0.4024089,0.12263589999999999,496.67553710000004,497.9547424,L5A,94,148,177.28966709999997,NCED easement_GBERB,766.4963379,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,7472,2.866,5654.484,2.528,7472,LES,1,43,597,560,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,3409.983154,30689.84839,Cultivated Crops,All areas are prime farmland,Somewhat poorly drained,Partially Hydric,0.5,None,1.8,clay loam,5.0,Nicollet,0.24,0.24,0.258403,0.4014611,1365.770752,1367.9400640000001,L85A,97,220,626.6751435,NCED easement_GBERB,241.6174316,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,8183,5.81,11326.944,3.602,8183,LES,1,43,597,560,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,6913.623047,62222.60742000001,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,0.95,clay loam,5.0,Poorly drained soil,0.24,0.24,0.24067049999999998,0.5461829,3760.469238,3773.248779,L83A,92,220,727.0943781000001,NCED easement_GBERB,168.44175719999998,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,8185,5.065,6156.723000000001,3.366,8185,LES,1,43,597,560,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,6026.741699,54240.67529,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,0.9,clay loam,5.0,Canisteo,0.24,0.24,0.6473485999999999,0.3816125,2318.295898,2298.142578,L107A,91,220,741.2870777,NCED easement_GBERB,238.461792,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,8187,3.64,5831.37,2.8560000000000003,8187,LES,1,43,597,560,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,4331.592772999999,38984.33496,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,0.9,clay loam,5.0,Canisteo,0.24,0.24,0.3841617,0.3761711,1614.90271,1628.1900640000001,L107A,91,220,773.7959793,NCED easement_GBERB,241.9111633,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,8189,23.831,10444.87,7.307,8189,LES,1,43,597,560,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,28368.785160000003,255319.0664,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.833333333,clay loam,5.0,Harps,0.2533333,0.2533333,0.1534716,0.49392780000000003,13962.84668,14001.5498,L84A,90,220,529.868336,NCED easement_GBERB,182.2128601,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
WCMO,8194,48.298,21039.34,10.402999999999999,8194,LES,1,43,597,560,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,57517.015629999994,517653.1406,Cultivated Crops,All areas are prime farmland,Well drained,Partially Hydric,0.5,None,1.966666667,loam,5.0,Ocheyedan,0.2033333,0.2033333,0.1882927,0.6438739,36924.88281,37005.72656,L98A,76,241,200.5359621,NCED easement_GBERB,118.0355301,24,SB24,32703.804180000003,132347717.0,1,Y,LES,18,0,17719.92424,0.080460829,6.65,1.14,7.69,15.16,M77.74/2,0.02,0.035,21.23675704,834.3987834,0.499520319,0.980870135,0.999981648,-0.980851783,1,0.23177744
