Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,2291,1.12,4391.691,7.553999999999999,2291,MAP,3,13,177,166,Blue Earth,Maple Below Gauge,Knick to Wat,BL,3,LO,3,22881.5293,205933.7637,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,1.166666667,silty clay loam,5.0,Kingston,0.2933333,0.2933333,0.21987849999999998,0.32210429999999995,7435.777831999999,7365.626953,136,93,12226,369.3604591,GBER_CONUS_wet_poly,288.72634889999995,3,SB3,2312.856949,9359808.273,3,F,LES,2,2,6519.259736,0.096163526,41.0,3.28,47.56,134.59,L4.49,0.04,0.035,29.543811600000005,220.66413849999998,0.498429125,0.994905087,0.999983993,-0.99488908,1,0.061295594
WCMO,2611,0.39,1517.953,4.415,2611,MAP,3,13,177,166,Blue Earth,Maple Below Gauge,Knick to Wat,BL,3,LO,3,7908.819823999999,71179.37842000001,Cultivated Crops,Farmland of statewide importance,Moderately well drained,Not Hydric,0.0,None,2.75,sandy loam,3.5,Minneopa,0.2025,0.2025,1.0917865,0.5864494,4370.220703,4635.187988000001,41B,57,9915,331.04423660000003,GBER_CONUS_wet_poly,97.19509120000001,3,SB3,2312.856949,9359808.273,3,F,LES,2,2,6519.259736,0.096163526,41.0,3.28,47.56,134.59,L4.49,0.04,0.035,29.543811600000005,220.66413849999998,0.498429125,0.994905087,0.999983993,-0.99488908,1,0.061295594
WCMO,2612,43.434,7458.098000000001,9.809,2612,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,38858.07813,349722.7031,Cultivated Crops,Farmland of statewide importance,Somewhat excessively drained,Not Hydric,0.0,None,2.642857143,sandy loam,4.428571429,Estherville,0.2457143,0.2457143,0.39528759999999996,0.7111692,27419.83789,27617.25,41B,75,2333,0.0,GBER_CONUS_wet_poly,105.46013640000001,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,2784,20.480999999999998,3400.783,6.627999999999999,2784,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,17718.71289,159468.416,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,2.333333333,loam,5.0,Terril,0.24,0.24,0.5367325,0.45125429999999994,8004.799805,7990.598145,248,93,6095,248.34032569999997,GBER_CONUS_wet_poly,206.09222409999998,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,2790,0.318,1233.105,4.004,2790,MAP,3,13,177,166,Blue Earth,Maple Below Gauge,Knick to Wat,BL,3,LO,3,6424.70459,57822.34131,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,1.5,silty clay loam,5.0,Kingston,0.28,0.28,1.5169143999999999,0.376794,2533.186279,2419.2734379999997,136,97,9364,571.6504166,GBER_CONUS_wet_poly,257.4350586,3,SB3,2312.856949,9359808.273,3,F,LES,2,2,6519.259736,0.096163526,41.0,3.28,47.56,134.59,L4.49,0.04,0.035,29.543811600000005,220.66413849999998,0.498429125,0.994905087,0.999983993,-0.99488908,1,0.061295594
WCMO,3074,0.155,600.493,2.8,3074,MAP,3,13,177,166,Blue Earth,Maple Below Gauge,Knick to Wat,BL,3,LO,3,3128.682373,28158.14136,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.75,silt loam,5.0,Rolfe,0.325,0.325,0.27986740000000004,0.1301768,421.7727051,407.0279236,136,89,7308,924.7911740000001,GBER_CONUS_wet_poly,683.685791,3,SB3,2312.856949,9359808.273,3,F,LES,2,2,6519.259736,0.096163526,41.0,3.28,47.56,134.59,L4.49,0.04,0.035,29.543811600000005,220.66413849999998,0.498429125,0.994905087,0.999983993,-0.99488908,1,0.061295594
WCMO,3075,0.39799999999999996,1547.4520000000002,4.485,3075,MAP,3,13,177,166,Blue Earth,Maple Below Gauge,Knick to Wat,BL,3,LO,3,8062.513184,72562.61865,Hay/Pasture,All areas are prime farmland,Well drained,Not Hydric,0.0,None,4.666666667,loam,5.0,Clarion,0.28,0.28,6.099121599999999,2.0462143,16574.33594,16487.30273,136,94,2333,846.7666872000001,GBER_CONUS_wet_poly,45.938491799999994,3,SB3,2312.856949,9359808.273,3,F,LES,2,2,6519.259736,0.096163526,41.0,3.28,47.56,134.59,L4.49,0.04,0.035,29.543811600000005,220.66413849999998,0.498429125,0.994905087,0.999983993,-0.99488908,1,0.061295594
WCMO,3077,0.21600000000000003,838.7189999999999,3.318,3077,MAP,3,13,177,166,Blue Earth,Maple Below Gauge,Knick to Wat,BL,3,LO,3,4369.884277,39328.9585,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Madelia,0.28,0.28,0.8381283000000002,0.2043287,893.7337646,892.3378296,136,94,3529,879.8098554,GBER_CONUS_wet_poly,460.04302980000006,3,SB3,2312.856949,9359808.273,3,F,LES,2,2,6519.259736,0.096163526,41.0,3.28,47.56,134.59,L4.49,0.04,0.035,29.543811600000005,220.66413849999998,0.498429125,0.994905087,0.999983993,-0.99488908,1,0.061295594
WCMO,3078,1.213,9757.421,7.886,3078,MAP,3,13,177,166,Blue Earth,Maple Below Gauge,Knick to Wat,BL,3,LO,3,24787.05078,223083.457,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.75,silty clay,5.0,Lura,0.28,0.28,0.3958271,0.24538249999999998,6042.299316,6078.51709,136,88,9364,1125.24102,GBER_CONUS_wet_poly,358.6237488,3,SB3,2312.856949,9359808.273,3,F,LES,2,2,6519.259736,0.096163526,41.0,3.28,47.56,134.59,L4.49,0.04,0.035,29.543811600000005,220.66413849999998,0.498429125,0.994905087,0.999983993,-0.99488908,1,0.061295594
WCMO,3079,186.5,42375.585,20.605999999999998,3079,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,168682.8281,1518145.4530000002,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.5,silty clay loam,5.0,Minnetonka,0.28,0.28,0.39009279999999996,0.7099928000000001,119159.5234,119688.8047,136,92,931,467.4891878,GBER_CONUS_wet_poly,129.5787811,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
