Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,2612,43.434,7458.098000000001,9.809,2612,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,38858.07813,349722.7031,Cultivated Crops,Farmland of statewide importance,Somewhat excessively drained,Not Hydric,0.0,None,2.642857143,sandy loam,4.428571429,Estherville,0.2457143,0.2457143,0.39528759999999996,0.7111692,27419.83789,27617.25,41B,75,2333,0.0,GBER_CONUS_wet_poly,105.46013640000001,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,2784,20.480999999999998,3400.783,6.627999999999999,2784,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,17718.71289,159468.416,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,2.333333333,loam,5.0,Terril,0.24,0.24,0.5367325,0.45125429999999994,8004.799805,7990.598145,248,93,6095,248.34032569999997,GBER_CONUS_wet_poly,206.09222409999998,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,3079,186.5,42375.585,20.605999999999998,3079,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,168682.8281,1518145.4530000002,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.5,silty clay loam,5.0,Minnetonka,0.28,0.28,0.39009279999999996,0.7099928000000001,119159.5234,119688.8047,136,92,931,467.4891878,GBER_CONUS_wet_poly,129.5787811,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,3559,5.242999999999999,714.182,3.055,3559,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,3721.02124,33489.19116,Cultivated Crops,Farmland of statewide importance,Moderately well drained,Not Hydric,0.0,None,1.0,loamy fine sand,3.0,Minneopa,0.2,0.2,1.0793545,0.3269523,1218.2241210000002,1215.8306890000001,363,51,328,34.42829629,GBER_CONUS_wet_poly,155.9860687,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,3560,5.83,817.5189999999999,3.273,3560,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,4259.424805,38334.82324,Cultivated Crops,Prime farmland if protected from flooding or not frequently flooded during the growing season,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Comfrey,0.28,0.28,1.4515692,0.418887,1832.2121579999998,1783.097412,18,82,2287,119.8549674,GBER_CONUS_wet_poly,195.7568207,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,3860,12.478,1989.155,5.077,3860,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,10363.86816,93274.81348,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay,5.0,Beauford,0.28,0.28,0.0555456,0.2701254,2756.899902,2797.771484,996,80,843,164.1474364,NCED easement_GBERB,296.15872189999993,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,3864,4.627,5605.67,2.8139999999999996,3864,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,3155.651611,28400.8645,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Minnetonka,0.28,0.28,0.181095,0.1664463,525.803894,524.9152222,364,82,8213,171.0109091,GBER_CONUS_wet_poly,492.65130619999996,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,3934,7.247000000000001,11067.169,3.7489999999999997,3934,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,5560.147461,50041.32715,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,3.666666667,Alluvial land,0.2133333,0.2133333,1.9675293999999999,0.6006442,3308.3486329999996,3337.572998,1001,63,3412,0.0,GBER_CONUS_wet_poly,104.8873825,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,4191,9.245,6419.271,4.346,4191,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,7394.666504000001,66551.99854,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Waldorf,0.28,0.28,0.26314,0.28694949999999997,2138.3479,2120.57251,229,83,5550,175.2875989,GBER_CONUS_wet_poly,289.2494812,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
WCMO,4412,8.21,1236.92,4.046,4412,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,6444.585449,58001.26904,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,2.5,silty clay loam,4.0,Alluvial land,0.22,0.22,4.5336514,1.1249276000000001,7198.411620999999,7245.136231,1001,65,13120,87.48813923,GBER_CONUS_wet_poly,57.781494099999996,19,SB19,21696.69265,87803477.62,3,F,MAP,8,1,42633.49422,0.085584519,28.0,2.37,30.4,66.39,M29.55,0.04,0.035,23.44936226,1818.1089,0.499805052,0.958781835,0.9999839290000001,-0.958765764,1,0.50503025
