Site_ID,SedRed,Cost,Duck,HYDSB,SEDSB,SEDSB_R,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,SurfText,PondFCls,NEAR_FC,Hydri,Slope,Tfactor,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,CropProdIn,NEAR_FID,NEAR_DIST,CPI_depth
9932,49.154,12328.514,10.234,53,766,615,38182.92188,343646.2969,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.0294255,0.5101116,19419.94727,19465.57031,77,6108,169.561549,150.9473724
9937,59.931,10297.751,12.176,53,780,790,53653.19922,482878.793,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,loam,None,GBER_CONUS_wet_poly,0,5.038461538,5,0.2492308,0.2492308,0.3002398,1.2294482,66025.0625,65923.44531,93,6108,914.5194012,75.643692
9938,76.271,12958.165,13.643,53,780,790,67514.45313,607630.0781,Cultivated Crops,All areas are prime farmland,Well drained,Not Hydric,loam,None,GBER_CONUS_wet_poly,0,2.25,5,0.26,0.26,0.1289217,0.9341498,62878.55469,63029.89063,97,471,772.5552753,103.837738
10100,40.395,18391.714,9.153,53,766,615,31192.66211,280733.959,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.4743104,0.1867828,5779.433594,5822.607422,77,4696,486.2794611,412.2434692
10101,48.28,20084.623,10.046,53,766,615,37485.33594,337368.0234,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.357789,0.7801391,29447.12891,29225.50586,77,8317,401.4363377,98.7003479
10102,15.061,12114.846,5.459,53,766,615,11018.74023,99168.66211,Emergent Herbaceuous Wetlands,Farmland of statewide importance,Moderately well drained,Not Hydric,silty clay loam,None,GBER_CONUS_wet_poly,0,3.5,5,0.2666667,0.2666667,0.5181385,1.4811069,15716.02539,16309.7666,59,8317,0,39.8350716
10111,112.499,21894.098,15.46,53,766,615,88021.39844,792192.5859,Cultivated Crops,All areas are prime farmland,Well drained,Not Hydric,loam,None,GBER_CONUS_wet_poly,0,2.333333333,5,0.24,0.24,0.3849769,0.8510413,74862.69531,74863.25,66,8317,0,77.5520554
10275,34.11,15596.305,8.825,50,795,766,29157.79297,262420.1367,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1.333333333,5,0.28,0.28,0.1457557,0.6200755,18081.40234,18068.61719,88,2012,63.04204785,141.9181976
10621,34.624,5103.602,8.565,53,766,615,26590.7168,239316.4512,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,silt loam,None,GBER_CONUS_wet_poly,0,3.375,4,0.225,0.225,0.59253,1.6829171,44848.0625,44722.45313,95,471,0,56.4496002
10622,423.338,78458.249,32.587,53,780,790,382731.1563,3444580.406,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,1.772727273,5,0.28,0.28,0.1221645,1.09311,417475.0938,418111.1875,91,471,407.1943249,83.2487183
10623,90.639,20482.01,14.944,53,780,790,80664.15625,725977.4063,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,2.416666667,5,0.2666667,0.2666667,0.1122769,0.6586544,53030.90234,53097.15234,88,471,465.7037253,133.6057281
